sid,test,subname,parent_title,sub_title,catid,description
253,,Mycenae,Images & Art [6],Mycenae [253],6,Photos Design and Art
254,,Minos,Images & Art [6],Minos [254],6,Photos Design and Art
255,,Timelines,Church History [12],Timelines [255],12,Timelines and Charts
256,,Manners & Customs,Ancient Greece [3],Manners & Customs [256],3,Daily Life
257,,Manners & Customs,Ancient Near East [5],Manners & Customs [257],5,Daily Life
258,,Manners & Customs,Ancient Israel [2],Manners & Customs [258],2,Daily Life
261,,Online Text Archives,Bible History [13],Online Text Archives [261],13,Writings and Documents Online
264,,Swords & Daggers,Weapons & Warfare [29],Swords & Daggers [264],29,Mostly Photos of Replicas
265,,Jerusalem,Archaeology [4],Jerusalem [265],4,Images of selected sites in Jerusalem.
266,,Articles of Interest,Archaeology [4],Articles of Interest [266],4,General articles about various discoveries.
267,,Resources,Archaeology [4],Resources [267],4,Collections and Links
276,,Political,Ancient Rome [1],Political [276],1,Constitutions and Laws
277,,Philosophy,Ancient Rome [1],Philosophy [277],1,"Aristotle, Plato and Others"
278,,Literature,Ancient Rome [1],Literature [278],1,Literary Resources
279,,Drama,Ancient Rome [1],Drama [279],1,"Aeschylus, Aristophanes,Euripides and more"
280,,Recent Excavations,Ancient Israel [2],Recent Excavations [280],2,Recent and Ongoing Excavations in Israel.
281,,Mathematics,Ancient Near East [5],Mathematics [281],5,Ancient Mesopotamia
282,,Collections,Ancient Near East [5],Collections [282],5,Ancient Mesopotamia Art and Archaeology
283,,Research Inst.,Archaeology [4],Research Inst. [283],4,Research Institutions
284,,NT Canon,Bible History [13],NT Canon [284],13,Its Development
285,,OT Canon,Bible History [13],OT Canon [285],13,Development
286,,Publications,Archaeology [4],Publications [286],4,Magazines and Newsletters
287,,Resource Sites,Church History [12],Resource Sites [287],12,Resources for Church History
288,,News & Articles,Archaeology [4],News & Articles [288],4,Various News Articles 
289,,Images 2,Bible History [13],Images 2 [289],13,More Images
290,,Archaeo. & Images,Ancient Israel [2],Archaeo. & Images [290],2,Archaeological sites with images from the past
291,,Archaeo. & Images 2,Ancient Israel [2],Archaeo. & Images 2 [291],2,More Archaeological sites with images from the past
293,,Fun Reference,Study Tools [34],Fun Reference [293],34,Very useful and fun sites for quick reference.
294,,2. Babylonia,Ancient Near East [5],2. Babylonia [294],5,This is a supplement to my BKA 41 program
295,,BHO Text Archive,Archaeology [4],BHO Text Archive [295],4,Full Text Documents
296,,E-Text Sites,Bible History [13],E-Text Sites [296],13,Full Electronic Text Sites
297,,Babylon,Childrens Resources [33],Babylon [297],33,The Babylonians
298,,Biblical,Maps & Geography [22],Biblical [298],22,Biblical Geography
299,,Sketches,Images & Art [6],Sketches [299],6,Reconstructions and Sketches of the Ancient World.
300,,Assyria,Images & Art [6],Assyria [300],6,"Assyrian Images, Reliefs and Maps"
301,,Israel,Images & Art [6],Israel [301],6,Images and Art of Ancient Israel
302,,Background,Jesus [19],Background [302],19,Historical Overview
303,,Biblical Lists,Jesus [19],Biblical Lists [303],19,Facts and Figures
304,,Apocryphal,Ancient Documents [16],Apocryphal [304],16,Apocryphal Book Listing
307,,Ancient Maps,Childrens Resources [33],Ancient Maps [307],33,Maps of the Ancient World
308,,Timelines,Jesus [19],Timelines [308],19,Brief Timelines of the Life of Jesus
309,,Galilee,Images & Art [6],Galilee [309],6,Photos
310,,Samaria,Images & Art [6],Samaria [310],6,Photos
311,,Jerusalem,Images & Art [6],Jerusalem [311],6,Photos
